Year,Agriculture,Industry,Services,GDP,w1,w2,w3
1270,64.59676368719816,28.15184075443832,37.00515829362967,40.58198755308213,NA,NA,NA
1271,63.922770903632625,27.38256137163947,37.4099150744177,40.160297580222675,NA,NA,NA
1272,69.02887728952845,27.72286130070069,37.51295438966947,41.667740041693406,0.2579172097923505,0.47298920723407384,0.2866047370068473
1273,61.40283319442997,26.856266563329793,37.55354899770831,39.302596676070785,0.25791720979235283,0.4729892072340301,0.2866047370068753
1274,60.48757886286674,26.987480285871275,37.650891737934245,39.15649839768874,0.2579172097923484,0.4729892072340679,0.28660473700685546
1275,76.86821889426136,29.76478897036763,37.86948236943698,44.757633512577144,0.25791720979234456,0.4729892072341009,0.2866047370068382
1276,62.2872240869122,26.450132434624614,37.727394968615094,39.388424326630044,0.2579172097923496,0.4729892072340696,0.2866047370068524
1277,71.10964805505222,27.27614759095143,37.745733988387336,42.05983160399101,0.2579172097923496,0.47298920723406945,0.28660473700685246
1278,77.62124010260973,26.826857381248555,38.026016146233594,43.60710403023494,0.25791720979235006,0.47298920723407284,0.2866047370068494
1279,56.87435819007469,22.52663503859056,37.92967503326283,36.19455555933257,0.2579172097923496,0.47298920723406906,0.2866047370068529
1280,59.31616893665651,22.291400011757133,38.12971915504318,36.77041053798893,0.2579172097923506,0.47298920723406396,0.28660473700685435
1281,67.11802540859803,22.8111874453896,38.38732566911819,39.10232868381425,0.25791720979235105,0.4729892072340621,0.2866047370068548
1282,64.04487614011293,22.135934748147186,38.269169772222654,37.956459321504255,0.2579172097923507,0.4729892072340691,0.28660473700685124
1283,57.84328908386446,21.486462792222945,38.4825375531372,36.110922282853686,0.2579172097923489,0.4729892072340777,0.2866047370068493
1284,62.85663970139297,21.163947175161308,38.90042425300299,37.37117358751651,0.25791720979235006,0.4729892072340549,0.28660473700686045
1285,65.2167827467524,20.836336603980136,39.05059179495572,37.86797756101028,0.25791720979235,0.472989207234061,0.28660473700685707
1286,62.61597356793012,21.00036836593406,39.342040870394094,37.3583000530708,0.25791720979235144,0.47298920723406834,0.2866047370068508
1287,72.9516621656595,22.598904408770565,39.83644621585217,40.92184122712588,0.2579172097923526,0.47298920723404986,0.2866047370068587
1288,69.77007729045695,21.541261084024278,40.188903971624164,39.70201791808701,0.25791720979235033,0.47298920723406607,0.2866047370068536
1289,61.17854495662096,19.658581338785446,40.41179749368947,36.65950900979917,0.2579172097923519,0.47298920723406135,0.2866047370068535
1290,61.67842305889019,20.151667174793257,41.05521780190144,37.20606776206439,0.25791720979235,0.47298920723407034,0.2866047370068521
